Country,Date,Continent,TotalCases,TotalDeaths
China,2020-01-26,Asia,2744,80
China,2020-01-27,Asia,4515,106
China,2020-01-28,Asia,5974,132
China,2020-01-29,Asia,7711,170
China,2020-01-30,Asia,9692,213
China,2020-01-31,Asia,11791,259
China,2020-02-01,Asia,14380,304
China,2020-02-02,Asia,17205,361
China,2020-02-03,Asia,20440,425
China,2020-02-04,Asia,24324,490
China,2020-02-05,Asia,28018,563
China,2020-02-06,Asia,31161,636
China,2020-02-07,Asia,34546,722
China,2020-02-08,Asia,37198,811
China,2020-02-09,Asia,40171,908
China,2020-02-10,Asia,42638,1016
China,2020-02-11,Asia,44653,1113
China,2020-02-12,Asia,58761,1259
China,2020-02-13,Asia,63851,1380
China,2020-02-14,Asia,66492,1523
China,2020-02-15,Asia,68500,1665
China,2020-02-16,Asia,70548,1770
China,2020-02-17,Asia,72436,1868
China,2020-02-18,Asia,74185,2004
China,2020-02-19,Asia,74576,2118
China,2020-02-20,Asia,75465,2236
China,2020-02-21,Asia,76288,2345
China,2020-02-22,Asia,76936,2442
China,2020-02-23,Asia,77150,2592
China,2020-02-24,Asia,77658,2663
China,2020-02-25,Asia,78064,2715
China,2020-02-26,Asia,78497,2744
China,2020-02-27,Asia,78824,2788
China,2020-02-28,Asia,79251,2835
China,2020-02-29,Asia,79824,2870
China,2020-03-01,Asia,80026,2912
China,2020-03-02,Asia,80151,2943
China,2020-03-03,Asia,80270,2981
China,2020-03-04,Asia,80409,3012
China,2020-03-05,Asia,80552,3042
China,2020-03-06,Asia,80651,3070
China,2020-03-07,Asia,80695,3097
China,2020-03-08,Asia,80735,3119
China,2020-03-09,Asia,80754,3136
China,2020-03-10,Asia,80778,3158
China,2020-03-11,Asia,80793,3169
China,2020-03-12,Asia,80813,3176
China,2020-03-13,Asia,80824,3189
China,2020-03-14,Asia,80844,3199
China,2020-03-15,Asia,80860,3213
China,2020-03-16,Asia,80881,3226
China,2020-03-17,Asia,80894,3237
China,2020-03-18,Asia,80928,3245
China,2020-03-19,Asia,80967,3248
China,2020-03-20,Asia,81008,3255
China,2020-03-21,Asia,81054,3261
China,2020-03-22,Asia,81093,3270
China,2020-03-23,Asia,81171,3277
China,2020-03-24,Asia,81218,3281
China,2020-03-25,Asia,81285,3287
China,2020-03-26,Asia,81340,3292
China,2020-03-27,Asia,81394,3295
China,2020-03-28,Asia,81439,3300
China,2020-03-29,Asia,81439,3300
China,2020-03-30,Asia,81518,3305
China,2020-03-31,Asia,81554,3312
China,2020-04-01,Asia,81589,3318
China,2020-04-02,Asia,81620,3322
China,2020-04-03,Asia,81639,3326
China,2020-04-04,Asia,81669,3329
China,2020-04-05,Asia,81708,3331
China,2020-04-06,Asia,81740,3331
China,2020-04-07,Asia,81802,3333
China,2020-04-08,Asia,81865,3335
China,2020-04-09,Asia,81907,3336
China,2020-04-10,Asia,81953,3339
China,2020-04-11,Asia,82052,3339
China,2020-04-12,Asia,82160,3341
China,2020-04-13,Asia,82249,3341
China,2020-04-14,Asia,82295,3342
China,2020-04-15,Asia,82341,3342
China,2020-04-16,Asia,82367,3342
China,2020-04-17,Asia,82692,4632
China,2020-04-18,Asia,82719,4632
China,2020-04-19,Asia,82735,4632
China,2020-04-20,Asia,82747,4632
China,2020-04-21,Asia,82758,4632
China,2020-04-22,Asia,82788,4632
China,2020-04-23,Asia,82798,4632
China,2020-04-24,Asia,82804,4632
China,2020-04-25,Asia,82816,4632
China,2020-04-26,Asia,82827,4632
China,2020-04-27,Asia,82830,4633
China,2020-04-28,Asia,82836,4633
China,2020-04-29,Asia,82858,4633
China,2020-04-30,Asia,82862,4633
China,2020-05-01,Asia,82874,4633
China,2020-05-02,Asia,82875,4633
China,2020-05-03,Asia,82877,4633
China,2020-05-04,Asia,82880,4633
China,2020-05-05,Asia,82881,4633
China,2020-05-06,Asia,82883,4633
China,2020-05-07,Asia,82885,4633
China,2020-05-08,Asia,82886,4633
China,2020-05-09,Asia,82887,4633
China,2020-05-10,Asia,82901,4633
China,2020-05-11,Asia,82918,4633
China,2020-05-12,Asia,82919,4633
China,2020-05-13,Asia,82926,4633
China,2020-05-14,Asia,82929,4633
China,2020-05-15,Asia,82933,4633
China,2020-05-16,Asia,82941,4633
China,2020-05-17,Asia,82947,4634
China,2020-05-18,Asia,82954,4634
China,2020-05-19,Asia,82960,4634
China,2020-05-20,Asia,82965,4634
China,2020-05-21,Asia,82967,4634
China,2020-05-22,Asia,82971,4634
China,2020-05-23,Asia,82971,4634
China,2020-05-24,Asia,82974,4634
China,2020-05-25,Asia,82985,4634
China,2020-05-26,Asia,82992,4634
China,2020-05-27,Asia,82993,4634
China,2020-05-28,Asia,82995,4634
China,2020-05-29,Asia,82995,4634
China,2020-05-30,Asia,82999,4634
China,2020-05-31,Asia,83001,4634
China,2020-06-01,Asia,83017,4634
China,2020-06-02,Asia,83021,4634
China,2020-06-03,Asia,83021,4634
China,2020-06-04,Asia,83022,4634
China,2020-06-05,Asia,83027,4634
Colombia,2020-02-15,South America,0,0
Colombia,2020-02-16,South America,0,0
Colombia,2020-02-17,South America,0,0
Colombia,2020-02-18,South America,0,0
Colombia,2020-02-19,South America,0,0
Colombia,2020-02-20,South America,0,0
Colombia,2020-02-21,South America,0,0
Colombia,2020-02-22,South America,0,0
Colombia,2020-02-23,South America,0,0
Colombia,2020-02-24,South America,0,0
Colombia,2020-02-25,South America,0,0
Colombia,2020-02-26,South America,0,0
Colombia,2020-02-27,South America,0,0
Colombia,2020-02-28,South America,0,0
Colombia,2020-02-29,South America,0,0
Colombia,2020-03-01,South America,0,0
Colombia,2020-03-02,South America,0,0
Colombia,2020-03-03,South America,0,0
Colombia,2020-03-04,South America,0,0
Colombia,2020-03-05,South America,0,0
Colombia,2020-03-06,South America,1,0
Colombia,2020-03-07,South America,1,0
Colombia,2020-03-08,South America,1,0
Colombia,2020-03-09,South America,3,0
Colombia,2020-03-10,South America,3,0
Colombia,2020-03-11,South America,9,0
Colombia,2020-03-12,South America,9,0
Colombia,2020-03-13,South America,16,0
Colombia,2020-03-14,South America,24,0
Colombia,2020-03-15,South America,34,0
Colombia,2020-03-16,South America,54,0
Colombia,2020-03-17,South America,65,0
Colombia,2020-03-18,South America,93,0
Colombia,2020-03-19,South America,108,0
Colombia,2020-03-20,South America,145,0
Colombia,2020-03-21,South America,196,0
Colombia,2020-03-22,South America,231,2
Colombia,2020-03-23,South America,277,3
Colombia,2020-03-24,South America,378,3
Colombia,2020-03-25,South America,470,4
Colombia,2020-03-26,South America,491,6
Colombia,2020-03-27,South America,539,6
Colombia,2020-03-28,South America,608,6
Colombia,2020-03-29,South America,702,10
Colombia,2020-03-30,South America,798,14
Colombia,2020-03-31,South America,906,16
Colombia,2020-04-01,South America,1065,17
Colombia,2020-04-02,South America,1161,19
Colombia,2020-04-03,South America,1267,25
Colombia,2020-04-04,South America,1406,32
Colombia,2020-04-05,South America,1485,35
Colombia,2020-04-06,South America,1579,46
Colombia,2020-04-07,South America,1780,50
Colombia,2020-04-08,South America,2054,55
Colombia,2020-04-09,South America,2223,69
Colombia,2020-04-10,South America,2473,80
Colombia,2020-04-11,South America,2709,100
Colombia,2020-04-12,South America,2776,109
Colombia,2020-04-13,South America,2852,112
Colombia,2020-04-14,South America,2979,127
